founder,host_channel,founder_filmed_n,guest_channels
Андрей_Рудой,Вестник_Бури,6,Рабкор АгитПроп КрасноBY
Василий_Садонин,Выход_есть,5,Вестник_Бури АгитПроп Рабкор
Олег_Комолов,Простые_числа,5,КрасноBY АгитПроп Рабкор Вестник_Бури
Евгений_Баженов,Bad_Comedian,4,Простые_числа АгитПроп Рабкор
Николай_Бондаренко,Дневник_депутата,4,Рабкор АгитПроп Вестник_Бури
Николай_Бондаренко,Убежище_оппозиции,4,Рабкор АгитПроп Вестник_Бури
Александра_Арабаджян,Сталь_и_слезы,3,Простые_числа
Даниил_Григорьев,New_Deal,3,Вестник_Бури Рабкор Простые_числа
Иван_Поляков,Призыв_к_разуму,3,АгитПроп Простые_числа Вектор
Дмитрий_Пучков,Тупичок_Гоблина,2,АгитПроп
Константин_Семин,АгитПроп,2,Вестник_Бури Рабкор
Олег_Двуреченский,Красное_ТВ,2,АгитПроп Клим_Жуков
JT_Chapman,Second_Thought,1,АгитПроп
Александр_Киященко,Мятежник_Джек,1,Вестник_Бури
Борис_Б,Держать_курс,1,АгитПроп
Борис_Кагарлицкий,Рабкор,1,АгитПроп
Василий_Мельников,МНДР,1,Вестник_Бури
Григорий_Нонкон,Анима_Схема,1,АгитПроп
Даниил_Ковалев,Таганай,1,АгитПроп
Дмитрий_Исаенок,Poligraf_Red,1,КрасноBY
Егор_Иванов,Плохой_сигнал,1,АгитПроп
Илья_Ярский,Вектор,1,КрасноBY
Маргарита_Ritartha,Ritartha,1,АгитПроп
Олег_Assa,Все_работы_хороши,1,АгитПроп
Ольга_Михневич,RedAutumnBooks,1,АгитПроп
Святослав_Варнашов,Думай_сам_Думай_сейчас,1,Простые_числа
Станислав_Васильев,Стас_ай_как_просто,1,Рабкор
Судки_Отман,Sodky,1,АгитПроп
