person,project,yt,n
https://purl.org/prozion/redkgr#Евгений_Баженов,https://purl.org/prozion/redkgr#Bad_Comedian,youtube.com/@TheBadComedian,5910000
https://purl.org/prozion/redkgr#Николай_Бондаренко,https://purl.org/prozion/redkgr#Дневник_депутата,youtube.com/@bondarenko_blog,1820000
https://purl.org/prozion/redkgr#JT_Chapman,https://purl.org/prozion/redkgr#Second_Thought,youtube.com/@SecondThought,1650000
https://purl.org/prozion/redkgr#Олег_Assa,https://purl.org/prozion/redkgr#Все_работы_хороши,youtube.com/@vse_raboty_horoshi,1200000
https://purl.org/prozion/redkgr#Константин_Семин,https://purl.org/prozion/redkgr#АгитПроп,youtube.com/@Agit_Prop,766000
https://purl.org/prozion/redkgr#Клим_Жуков,https://purl.org/prozion/redkgr#Клим_Жуков,youtube.com/@uzhukoffa,748000
https://purl.org/prozion/redkgr#Даниил_Ковалев,https://purl.org/prozion/redkgr#Таганай,youtube.com/@TaganayTV,495000
https://purl.org/prozion/redkgr#Константин_Красноперов,https://purl.org/prozion/redkgr#Простые_числа,youtube.com/@PN_chanel,409000
https://purl.org/prozion/redkgr#Олег_Комолов,https://purl.org/prozion/redkgr#Простые_числа,youtube.com/@PN_chanel,409000
https://purl.org/prozion/redkgr#Николай_Бондаренко,https://purl.org/prozion/redkgr#Убежище_оппозиции,youtube.com/@user-jh1cs5wj4o,362000
https://purl.org/prozion/redkgr#Андрей_Рудой,https://purl.org/prozion/redkgr#Вестник_Бури,youtube.com/@Vestnik_Buri,320000
https://purl.org/prozion/redkgr#Егор_Иванов,https://purl.org/prozion/redkgr#Плохой_сигнал,youtube.com/@bad_signal,289000
https://purl.org/prozion/redkgr#Святослав_Варнашов,https://purl.org/prozion/redkgr#Думай_сам_Думай_сейчас,youtube.com/@ThinkYourSelf_ThinkNow,189000
https://purl.org/prozion/redkgr#Борис_Б,https://purl.org/prozion/redkgr#Держать_курс,youtube.com/@keepkurs,164000
https://purl.org/prozion/redkgr#Борис_Кагарлицкий,https://purl.org/prozion/redkgr#Рабкор,youtube.com/@rabkor,120000
https://purl.org/prozion/redkgr#Ольга_Михневич,https://purl.org/prozion/redkgr#RedAutumnBooks,youtube.com/@redautumnbooks,109000
https://purl.org/prozion/redkgr#Василий_Садонин,https://purl.org/prozion/redkgr#Выход_есть,youtube.com/@Vasiliy_Sadonin,106000
https://purl.org/prozion/redkgr#Егор_Красный_Декор,https://purl.org/prozion/redkgr#Ritartha,youtube.com/@Ritartha,106000
https://purl.org/prozion/redkgr#Маргарита_Ritartha,https://purl.org/prozion/redkgr#Ritartha,youtube.com/@Ritartha,106000
https://purl.org/prozion/redkgr#Олег_Двуреченский,https://purl.org/prozion/redkgr#Красное_ТВ,youtube.com/@krasnoetv24,79000
https://purl.org/prozion/redkgr#Иван_Поляков,https://purl.org/prozion/redkgr#Призыв_к_разуму,youtube.com/@appeal_to,47300
https://purl.org/prozion/redkgr#Григорий_Нонкон,https://purl.org/prozion/redkgr#Анима_Схема,youtube.com/@Anima_Shema,18400
https://purl.org/prozion/redkgr#Даниил_Григорьев,https://purl.org/prozion/redkgr#New_Deal,youtube.com/@NewDeal1917,18400
https://purl.org/prozion/redkgr#Сергей_Крупенько,https://purl.org/prozion/redkgr#Красный_поворот,youtube.com/@red_turn,16700
https://purl.org/prozion/redkgr#Дмитрий_Исаенок,https://purl.org/prozion/redkgr#Poligraf_Red,youtube.com/@poligrafred,13000
https://purl.org/prozion/redkgr#Александр_Киященко,https://purl.org/prozion/redkgr#Мятежник_Джек,,
https://purl.org/prozion/redkgr#Александра_Арабаджян,https://purl.org/prozion/redkgr#Сталь_и_слезы,,
https://purl.org/prozion/redkgr#Илья_Ярский,https://purl.org/prozion/redkgr#Вектор,,
https://purl.org/prozion/redkgr#Станислав_Васильев,https://purl.org/prozion/redkgr#Стас_ай_как_просто,,
